"date","name","Age","Pos","Squad","MP","Min","G.A","xG.xAG","KP","Tkl.Int","Save.","value","JoueEurope"
2025-06-02,"Zuriko Davitashvili",23,"FW","Saint-Étienne",33,2778,17,0.43,50,36,0,1e+07,FALSE
2025-06-02,"Zinédine Ould Khaled",24,"MF","Angers",10,343,0,0.01,0,11,0,4e+05,FALSE
2025-06-02,"Zinedine Ferhat",31,"FW","Angers",24,849,2,0.4,17,19,0,1e+06,FALSE
2025-06-02,"Zakaria Aboukhlal",24,"MF","Toulouse",26,1901,9,0.56,12,28,0,1.2e+07,FALSE
2025-06-02,"Yunis Abdelhamid",36,"DF","Saint-Étienne",16,1033,0,0.03,2,31,0,4e+05,FALSE
2025-06-02,"Youssoufa Moukoko",19,"FW","Nice",11,204,3,1.32,5,3,0,1e+07,TRUE
2025-06-02,"Youssouf Ndayishimiye",25,"DF","Nice",23,1932,3,0.05,5,61,0,1.2e+07,TRUE
2025-06-02,"Younes Lachaab",19,"MF","Lille",2,9,0,0.95,0,2,0,50000,TRUE
2025-06-02,"Yoram Zague",18,"DF","Paris S-G",4,183,0,0.05,2,10,0,2500000,TRUE
2025-06-01,"Yoann Salmier",31,"DF","Le Havre",13,797,0,0.12,2,24,0,8e+05,FALSE
2025-06-02,"Yehvann Diouf",24,"GK","Reims",34,3060,0,0,0,3,76,1.2e+07,FALSE
2025-06-02,"Yassine Kechta",22,"MF","Le Havre",31,2096,2,0.16,15,86,0,5e+06,FALSE
2025-06-02,"Yassin Belkhdim",22,"MF","Angers",29,1523,2,0.08,5,74,0,1e+06,FALSE
2025-06-02,"Yann Gboho",23,"MF","Toulouse",31,2333,9,0.35,30,37,0,8e+06,FALSE
2025-06-02,"Yanis Zouaoui",30,"DF","Le Havre",17,976,2,0.28,28,28,0,8e+05,FALSE
2025-06-02,"Yanis Issoufou",17,"MF","Montpellier",4,77,0,0.07,0,6,0,2e+05,FALSE
2025-06-02,"Yahia Fofana",23,"GK","Angers",33,2970,0,0,1,1,74.2,7e+06,FALSE
2025-06-02,"Willian Pacho",22,"DF","Paris S-G",28,2132,1,0.02,3,96,0,6.5e+07,TRUE
2025-06-04,"Wilfried Zaha",31,"FW","Lyon",4,73,0,0.07,0,2,0,5e+06,TRUE
2025-06-02,"Wilfried Singo",23,"DF","Monaco",27,2096,3,0.14,7,80,0,2.5e+07,TRUE
2025-06-02,"Wesley Saïd",29,"FW","Lens",24,905,3,0.42,9,18,0,3e+06,FALSE
2025-06-02,"Warren Zaïre-Emery",18,"MF","Paris S-G",29,2050,3,0.14,18,74,0,5.5e+07,TRUE
2025-06-02,"Warmed Omari",24,"DF","Lyon",1,8,0,0,0,0,0,3e+06,TRUE
2025-06-02,"Wahbi Khazri",33,"FW","Montpellier",30,1118,2,0.37,18,30,0,1e+06,FALSE
2025-06-16,"Vitinha",24,"MF","Paris S-G",29,2042,6,0.27,27,57,0,8e+06,TRUE
2025-06-02,"Vincent Sierro",28,"MF","Toulouse",29,2402,6,0.29,30,60,0,4e+06,FALSE
2025-06-02,"Victor Orakpo",18,"FW","Nice",4,36,0,0.81,0,0,0,4e+05,TRUE
2025-06-02,"Vanderson",23,"DF","Monaco",29,2064,4,0.23,23,115,0,2e+07,TRUE
2025-06-02,"Valentin Rongier",29,"MF","Marseille",25,1562,4,0.12,11,83,0,9e+06,TRUE
2025-06-02,"Ulisses Garcia",28,"DF","Marseille",20,930,4,0.28,8,22,0,5e+06,TRUE
2025-06-02,"Tom Pouilly",21,"DF","Lens",10,273,0,0.28,3,13,0,8e+05,FALSE
2025-06-02,"Tom Louchet",21,"DF","Nice",22,775,1,0.22,14,45,0,2500000,TRUE
2025-06-02,"Tino Kadewere",28,"MF","Nantes",12,512,3,0.47,8,20,0,2500000,FALSE
2025-06-02,"Thomas Meunier",32,"DF","Lille",30,1928,2,0.12,13,87,0,2e+06,TRUE
2025-06-02,"Thomas Delaine",32,"DF","Strasbourg",2,9,0,0,0,2,0,6e+05,TRUE
2025-06-02,"Thilo Kehrer",27,"DF","Monaco",27,2383,4,0.07,5,73,0,2e+07,TRUE
2025-06-01,"Thibault De Smet",26,"DF","Reims",5,192,0,0.07,0,10,0,2500000,FALSE
2025-06-02,"Thiago Almada",23,"MF","Lyon",16,951,5,0.44,22,21,0,2.5e+07,TRUE
2025-06-02,"Théo Sainte-Luce",25,"DF","Montpellier",16,1018,1,0.17,8,36,0,8e+05,FALSE
2025-06-01,"Théo Pellenard",30,"DF","Auxerre",2,45,0,0,0,3,0,7e+05,FALSE
2025-06-02,"Théo De Percin",23,"GK","Auxerre",2,180,0,0,0,0,77.8,3e+05,FALSE
2025-06-02,"Théo Chennahi",19,"DF","Montpellier",4,181,0,0.09,1,8,0,150000,FALSE
2025-06-02,"Theo Bair",24,"FW","Auxerre",29,939,3,0.4,10,7,0,1800000,FALSE
2025-06-02,"Téji Savanier",32,"MF","Montpellier",31,2363,7,0.42,67,44,0,2500000,FALSE
2025-06-02,"Teddy Teuma",30,"MF","Reims",17,750,1,0.3,13,30,0,3e+06,FALSE
2025-06-02,"Tanner Tessmann",22,"MF","Lyon",25,1234,1,0.11,7,44,0,6e+06,TRUE
2025-06-02,"Tanguy Coulibaly",23,"FW","Montpellier",25,1485,3,0.31,18,43,0,1500000,FALSE
2025-06-02,"Takumi Minamino",29,"MF","Monaco",31,2231,9,0.62,40,43,0,1.5e+07,TRUE
2025-06-11,"Steve Ngoura",19,"FW","Le Havre",8,289,0,0.54,2,4,0,8e+05,FALSE
2025-09-09,"Steve Mandanda",39,"GK","Rennes",18,1486,0,0.01,2,0,58.8,0,FALSE
2025-06-02,"Soungoutou Magassa",20,"MF","Monaco",21,1025,1,0.12,7,68,0,1.2e+07,TRUE
2025-06-02,"Soumaïla Coulibaly",20,"DF","Brest",7,438,0,0.05,1,9,0,8e+06,FALSE
2025-06-02,"Sorba Thomas",24,"FW","Nantes",25,1321,4,0.35,36,23,0,3500000,FALSE
2025-06-02,"Sofiane Diop",24,"MF","Nice",28,1064,10,0.75,24,40,0,1e+07,TRUE
2025-06-02,"Simon Cara",19,"MF","Montpellier",2,9,0,0,0,0,0,50000,FALSE
2025-06-02,"Shavy Babicka",24,"MF","Toulouse",30,1186,6,0.42,13,24,0,2500000,FALSE
2025-06-02,"Sergio Akieme",26,"DF","Reims",30,2523,5,0.14,21,51,0,7e+06,FALSE
2025-06-02,"Senny Mayulu",18,"MF","Paris S-G",20,808,4,0.55,12,30,0,1.5e+07,TRUE
2025-06-02,"Seko Fofana",29,"MF","Rennes",16,844,2,0.31,13,18,0,1e+07,FALSE
2025-06-02,"Sebastian Nanasi",22,"MF","Strasbourg",31,2107,10,0.49,37,27,0,1.8e+07,TRUE
2025-06-01,"Samuel Grandsir",27,"MF","Le Havre",6,84,0,0.67,3,5,0,8e+05,FALSE
2025-06-02,"Saïmon Bouabré",18,"MF","Monaco",3,97,0,0,0,1,0,3e+05,TRUE
2025-06-23,"Saïd Benrahma",28,"FW","Lyon",13,735,4,0.49,14,12,0,1e+07,TRUE
2025-06-02,"Rudy Matondo",16,"MF","Auxerre",5,66,0,0,0,1,0,3e+05,FALSE
2025-06-02,"Ruben Aguilar",31,"DF","Lens",16,1124,3,0.21,11,47,0,3500000,FALSE
2025-06-02,"Romain Faivre",26,"MF","Brest",20,899,5,0.45,10,17,0,6e+06,FALSE
2025-06-02,"Romain Del Castillo",28,"FW","Brest",26,1259,10,0.58,37,37,0,7e+06,FALSE
2025-06-02,"Robinio Vaz",17,"FW","Marseille",2,75,0,0.61,0,1,0,150000,TRUE
2025-06-02,"Rémy Labeau Lascary",21,"FW","Lens",14,637,3,0.51,7,17,0,2e+06,FALSE
2025-06-02,"Rémy Descamps",28,"GK","Lyon",1,90,0,0,0,0,66.7,1200000,TRUE
2025-06-02,"Rémy Cabella",34,"FW","Lille",23,1011,3,0.55,26,47,0,2500000,TRUE
2025-06-02,"Reda Khadra",23,"MF","Reims",4,78,0,0.03,1,1,0,2e+06,FALSE
2025-06-09,"Rayan Raveloson",27,"MF","Auxerre",13,724,1,0.12,3,11,0,2e+06,FALSE
2025-06-02,"Rayan Fofana",18,"FW","Lens",2,25,0,0,0,2,0,50000,FALSE
2025-06-02,"Rayan Cherki",20,"FW","Lyon",30,2041,19,0.71,75,22,0,4.5e+07,TRUE
2025-06-02,"Rassoul Ndiaye",22,"MF","Le Havre",27,1061,1,0.2,10,47,0,2e+06,FALSE
2025-06-02,"Rasmus Nicolaisen",27,"DF","Toulouse",7,623,1,0.1,2,16,0,4500000,FALSE
2025-06-02,"Rafik Messali",21,"DF","Toulouse",13,456,1,0.25,11,25,0,8e+05,FALSE
2025-06-02,"Rabby Nzingoula",18,"MF","Montpellier",27,1689,1,0.14,8,93,0,2500000,FALSE
2025-06-02,"Quentin Merlin",22,"DF","Marseille",27,1589,4,0.28,25,36,0,1.5e+07,TRUE
2025-06-02,"Prosper Peter",16,"MF","Angers",2,27,0,0,0,2,0,50000,FALSE
2025-06-02,"Presnel Kimpembe",28,"DF","Paris S-G",2,23,0,0,0,1,0,5e+06,TRUE
2025-06-02,"Pol Lirola",26,"DF","Marseille",19,680,3,0.17,8,17,0,4e+06,TRUE
2025-06-02,"Pierrick Capelle",37,"MF","Angers",16,483,0,0.26,5,35,0,2e+05,FALSE
2025-06-02,"Pierre Lees-Melou",31,"MF","Brest",20,1526,4,0.24,19,60,0,6e+06,FALSE
2025-06-02,"Pierre Cornud",27,"DF","Saint-Étienne",11,576,0,0.05,3,21,0,8e+05,FALSE
2025-06-02,"Philipp Köhn",26,"GK","Monaco",19,1710,0,0,0,0,71.4,5e+06,TRUE
2025-06-02,"Pedro Chirivella",27,"MF","Nantes",30,2348,2,0.09,19,63,0,5e+06,FALSE
2025-06-02,"Paul Joly",24,"DF","Auxerre",26,1009,1,0.17,16,74,0,1800000,FALSE
2025-06-02,"Paul Akouokou",26,"MF","Lyon",2,19,0,0,0,2,0,8e+05,TRUE
2025-06-02,"Patrik Carlgren",32,"GK","Nantes",5,417,0,0,0,0,75,6e+05,FALSE
2025-06-02,"Pablo Rosario",27,"MF","Nice",29,1775,4,0.22,16,61,0,8e+06,TRUE
2025-05-27,"Oussama Targhalline",22,"MF","Le Havre",14,990,0,0.08,6,38,0,4e+06,FALSE
2025-06-02,"Ousmane Dembélé",27,"FW","Paris S-G",29,1730,27,1.29,63,20,0,9e+07,TRUE
2025-06-23,"Ousmane Camara",21,"DF","Angers",3,252,0,0.04,1,4,0,5e+05,FALSE
