"name","Rk","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","X90s","Gls","Ast","G.A","G.PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG.xAG","PrgC","PrgP","PrgR","G.A.PK","xG.xAG","Rk_stats_shooting","Nation_stats_shooting","Pos_stats_shooting","Comp_stats_shooting","Age_stats_shooting","Born_stats_shooting","X90s_stats_shooting","Gls_stats_shooting","Sh","SoT","SoT.","Sh.90","SoT.90","G.Sh","G.SoT","Dist","FK","PK_stats_shooting","PKatt_stats_shooting","xG_stats_shooting","npxG_stats_shooting","npxG.Sh","G.xG","np.G.xG","Rk_stats_passing","Nation_stats_passing","Pos_stats_passing","Comp_stats_passing","Age_stats_passing","Born_stats_passing","X90s_stats_passing","Cmp","Att","Cmp.","TotDist","PrgDist","Ast_stats_passing","xAG_stats_passing","xA","A.xAG","KP","X1.3","PPA","CrsPA","PrgP_stats_passing","Rk_stats_passing_types","Nation_stats_passing_types","Pos_stats_passing_types","Comp_stats_passing_types","Age_stats_passing_types","Born_stats_passing_types","X90s_stats_passing_types","Att_stats_passing_types","Live","Dead","FK_stats_passing_types","TB","Sw","Crs","TI","CK","In","Out","Str","Cmp_stats_passing_types","Off","Blocks","Rk_stats_gca","Nation_stats_gca","Pos_stats_gca","Comp_stats_gca","Age_stats_gca","Born_stats_gca","X90s_stats_gca","SCA","SCA90","PassLive","PassDead","TO","Sh_stats_gca","Fld","Def","GCA","GCA90","Rk_stats_defense","Nation_stats_defense","Pos_stats_defense","Comp_stats_defense","Age_stats_defense","Born_stats_defense","X90s_stats_defense","Tkl","TklW","Def.3rd","Mid.3rd","Att.3rd","Att_stats_defense","Tkl.","Lost","Blocks_stats_defense","Sh_stats_defense","Pass","Int","Tkl.Int","Clr","Err","Rk_stats_possession","Nation_stats_possession","Pos_stats_possession","Comp_stats_possession","Age_stats_possession","Born_stats_possession","X90s_stats_possession","Touches","Def.Pen","Def.3rd_stats_possession","Mid.3rd_stats_possession","Att.3rd_stats_possession","Att.Pen","Live_stats_possession","Att_stats_possession","Succ","Succ.","Tkld","Tkld.","Carries","TotDist_stats_possession","PrgDist_stats_possession","PrgC_stats_possession","X1.3_stats_possession","CPA","Mis","Dis","Rec","PrgR_stats_possession","Rk_stats_playing_time","Nation_stats_playing_time","Pos_stats_playing_time","Comp_stats_playing_time","Age_stats_playing_time","Born_stats_playing_time","MP_stats_playing_time","Min_stats_playing_time","Mn.MP","Min.","X90s_stats_playing_time","Starts_stats_playing_time","Mn.Start","Compl","Subs","Mn.Sub","unSub","PPM","onG","onGA","X...","X...90","On.Off","onxG","onxGA","xG...","xG...90","Rk_stats_misc","Nation_stats_misc","Pos_stats_misc","Comp_stats_misc","Age_stats_misc","Born_stats_misc","X90s_stats_misc","CrdY_stats_misc","CrdR_stats_misc","X2CrdY","Fls","Fld_stats_misc","Off_stats_misc","Crs_stats_misc","Int_stats_misc","TklW_stats_misc","PKwon","PKcon","OG","Recov","Won","Lost_stats_misc","Won.","Rk_stats_keeper","Nation_stats_keeper","Pos_stats_keeper","Comp_stats_keeper","Age_stats_keeper","Born_stats_keeper","MP_stats_keeper","Starts_stats_keeper","Min_stats_keeper","X90s_stats_keeper","GA","GA90","SoTA","Saves","Save.","W","D","L","CS","CS.","PKatt_stats_keeper","PKA","PKsv","PKm","Rk_stats_keeper_adv","Nation_stats_keeper_adv","Pos_stats_keeper_adv","Comp_stats_keeper_adv","Age_stats_keeper_adv","Born_stats_keeper_adv","X90s_stats_keeper_adv","GA_stats_keeper_adv","PKA_stats_keeper_adv","FK_stats_keeper_adv","CK_stats_keeper_adv","OG_stats_keeper_adv","PSxG","PSxG.SoT","PSxG...","X.90","Cmp_stats_keeper_adv","Att_stats_keeper_adv","Cmp._stats_keeper_adv","Att..GK.","Thr","Launch.","AvgLen","Opp","Stp","Stp.","X.OPA","X.OPA.90","AvgDist","player_id","player_slug","player_name","player_image_url","name_in_home_country","date_of_birth","place_of_birth","country_of_birth","height","citizenship","is_eu","position","main_position","foot","current_club_id","current_club_name","joined","contract_expires","outfitter","social_media_url","player_agent_id","player_agent_name","contract_option","date_of_last_contract_extension","on_loan_from_club_id","on_loan_from_club_name","contract_there_expires","second_club_url","second_club_name","third_club_url","third_club_name","fourth_club_url","fourth_club_name","date_of_death","date_unix","value","date"
"Zuriko Davitashvili",676,"ge GEO","FW","Saint-Étienne","fr Ligue 1",23,2001,33,32,2778,30.9,9,8,17,7,2,2,3,0,8.1,6.6,4.7,11.3,95,73,224,0.49,0.43,676,"ge GEO","FW,MF","fr Ligue 1",23,2001,30.9,9,68,24,35.3,2.2,0.78,0.1,0.29,19.4,5,2,2,8.1,6.6,0.1,0.9,0.4,676,"ge GEO","FW,MF","fr Ligue 1",23,2001,30.9,737,938,78.6,10639,2497,8,4.7,5.5,3.3,50,38,23,4,73,676,"ge GEO","FW,MF","fr Ligue 1",23,2001,30.9,938,799,134,40,6,1,85,16,68,13,34,0,737,5,22,676,"ge GEO","FW,MF","fr Ligue 1",23,2001,30.9,115,3.85,55,23,16,13,8,0,15,0.5,676,"ge GEO","FW,MF","fr Ligue 1",23,2001,30.9,22,14,9,7,6,49,30.6,34,20,0,20,14,36,14,0,676,"ge GEO","FW,MF","fr Ligue 1",23,2001,30.9,1298,17,138,478,710,123,1296,123,46,37.4,71,57.7,764,5467,2388,95,56,47,74,57,905,224,839,"ge GEO","FW,MF","fr Ligue 1",23,2001,33,2778,84,90.8,30.9,32,85,20,1,45,0,0.82,35,68,-33,-1.07,0.53,32.9,65,-32.2,-1.08,676,"ge GEO","FW,MF","fr Ligue 1",23,2001,30.9,3,0,0,20,40,5,85,14,14,2,0,0,117,14,47,23,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427572,"zuriko-davitashvili","Zuriko Davitashvili (427572)","https://img.a.transfermarkt.technology/portrait/header/427572-1727721934.jpg","ზურიკო დავითაშვილი","2001-02-15","Tiflis","Georgia",175,"Georgia","False","Attack - Left Winger","Attack","right",618,"AS Saint-Étienne","2024-07-11","2028-06-30","","http://www.instagram.com/zzuka10/",NA,"","Option for a further year","",NA,"","","","","","","","","","2025-06-02",1e+07,2025-06-02
"Zinédine Ould Khaled",2008,"fr FRA","MF","Angers","fr Ligue 1",24,2000,10,4,343,3.8,0,0,0,0,0,0,1,0,0,0,0,0,2,11,5,0,0.01,2008,"fr FRA","MF","fr Ligue 1",24,2000,3.8,0,1,1,100,0.26,0.26,0,0,11.2,0,0,0,0,0,0.03,0,0,2008,"fr FRA","MF","fr Ligue 1",24,2000,3.8,112,123,91.1,1885,405,0,0,0,0,0,7,0,0,11,2008,"fr FRA","MF","fr Ligue 1",24,2000,3.8,123,121,1,1,0,0,0,0,0,0,0,0,112,1,2,2008,"fr FRA","MF","fr Ligue 1",24,2000,3.8,1,0.26,1,0,0,0,0,0,0,0,2008,"fr FRA","MF","fr Ligue 1",24,2000,3.8,9,7,5,3,1,13,15.4,11,6,1,5,2,11,12,0,2008,"fr FRA","MF","fr Ligue 1",24,2000,3.8,167,11,58,92,18,5,167,3,0,0,3,100,82,381,129,2,1,1,4,3,106,5,2478,"fr FRA","MF","fr Ligue 1",24,2000,10,343,34,11.2,3.8,4,59,0,6,18,9,0.9,1,7,-6,-1.57,-1.08,1.5,8.9,-7.4,-1.94,2008,"fr FRA","MF","fr Ligue 1",24,2000,3.8,1,0,0,8,4,0,0,2,7,0,0,0,17,1,7,12.5,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650104,"zinedine-ould-khaled","Zinédine Ould Khaled (650104)","https://img.a.transfermarkt.technology/portrait/header/650104-1750956434.png","","2000-01-14","Alfortville","France",195,"France  Algeria","True","Midfield - Defensive Midfield","Midfield","right",63993,"Sabah FK","2025-07-01","2027-06-30","","",4221,"MY ELEVEN CONSULTING","","",NA,"","","","","","","","","","2025-06-02",4e+05,2025-06-02
"Zinedine Ferhat",891,"dz ALG","FW","Angers","fr Ligue 1",31,1993,24,8,849,9.4,2,0,2,2,0,0,1,0,1.4,1.4,2.4,3.7,16,40,64,0.21,0.4,891,"dz ALG","FW,MF","fr Ligue 1",31,1993,9.4,2,12,5,41.7,1.27,0.53,0.17,0.4,20.4,2,0,0,1.4,1.4,0.11,0.6,0.6,891,"dz ALG","FW,MF","fr Ligue 1",31,1993,9.4,303,451,67.2,5059,1644,0,2.4,2.1,-2.4,17,24,13,3,40,891,"dz ALG","FW,MF","fr Ligue 1",31,1993,9.4,451,392,55,15,3,5,68,7,33,9,20,2,303,4,9,891,"dz ALG","FW,MF","fr Ligue 1",31,1993,9.4,32,3.39,20,10,1,1,0,0,1,0.11,891,"dz ALG","FW,MF","fr Ligue 1",31,1993,9.4,9,7,1,5,3,13,30.8,9,9,0,9,10,19,12,0,891,"dz ALG","FW,MF","fr Ligue 1",31,1993,9.4,550,11,67,257,231,19,550,22,10,45.5,10,45.5,292,1453,553,16,10,4,21,15,390,64,1096,"dz ALG","FW,MF","fr Ligue 1",31,1993,24,849,35,27.7,9.4,8,67,3,16,20,2,0.96,8,17,-9,-0.95,-0.47,12.6,15.8,-3.3,-0.35,891,"dz ALG","FW,MF","fr Ligue 1",31,1993,9.4,1,0,0,11,15,2,68,10,7,0,0,0,47,17,20,45.9,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232895,"zinedine-ferhat","Zinedine Ferhat (232895)","https://img.a.transfermarkt.technology/portrait/header/232895-1750956943.png","زين الدين فرحات","1993-03-01","Bordj Menaïel","Algeria",180,"Algeria","False","Attack - Right Winger","Attack","right",8850,"MC Algiers","2025-08-31","2028-06-30","","http://www.instagram.com/zinedine_ferhat8/",7384,"GFOOT","","",NA,"","","","","","","","","","2025-06-02",1e+06,2025-06-02
"Zakaria Aboukhlal",16,"ma MAR","MF","Toulouse","fr Ligue 1",24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.38,0.56,16,"ma MAR","MF,FW","fr Ligue 1",24,2000,21.1,7,62,26,41.9,2.94,1.23,0.1,0.23,14.6,0,1,2,10.2,8.6,0.14,-3.2,-2.6,16,"ma MAR","MF,FW","fr Ligue 1",24,2000,21.1,221,349,63.3,2789,753,2,1.6,2,0.4,12,16,10,4,22,16,"ma MAR","MF,FW","fr Ligue 1",24,2000,21.1,349,333,13,1,0,0,33,7,3,2,0,0,221,3,14,16,"ma MAR","MF,FW","fr Ligue 1",24,2000,21.1,34,1.61,19,0,4,6,4,1,7,0.33,16,"ma MAR","MF,FW","fr Ligue 1",24,2000,21.1,22,13,7,8,7,23,17.4,19,16,1,15,6,28,9,0,16,"ma MAR","MF,FW","fr Ligue 1",24,2000,21.1,613,6,59,196,363,113,611,53,16,30.2,35,66,375,1923,880,34,24,19,64,26,450,164,19,"ma MAR","MF,FW","fr Ligue 1",24,2000,26,1901,73,62.1,21.1,22,82,9,4,25,0,1.31,22,23,-1,-0.05,-0.2,29,22.9,6.1,0.29,16,"ma MAR","MF,FW","fr Ligue 1",24,2000,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393238,"zakaria-aboukhlal","Zakaria Aboukhlal (393238)","https://img.a.transfermarkt.technology/portrait/header/393238-1753798031.jpg","زكرياء أبو خلال","2000-02-18","Rotterdam","Morocco",179,"Morocco  Netherlands","True","Attack - Right Winger","Attack","both",416,"Torino FC","2025-07-29","2029-06-30","","http://www.instagram.com/zakariaaboukhlal/",4611,"PANTHERA","","",NA,"","","","","","","","","","2025-06-02",1.2e+07,2025-06-02
"Yunis Abdelhamid",6,"ma MAR","DF","Saint-Étienne","fr Ligue 1",36,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0,0.03,6,"ma MAR","DF","fr Ligue 1",36,1987,11.5,0,2,1,50,0.17,0.09,0,0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,6,"ma MAR","DF","fr Ligue 1",36,1987,11.5,438,505,86.7,7952,2404,0,0.1,0.3,-0.1,2,28,0,0,22,6,"ma MAR","DF","fr Ligue 1",36,1987,11.5,505,461,42,20,0,0,0,3,0,0,0,0,438,2,1,6,"ma MAR","DF","fr Ligue 1",36,1987,11.5,6,0.55,5,1,0,0,0,0,0,0,6,"ma MAR","DF","fr Ligue 1",36,1987,11.5,17,11,15,2,0,16,62.5,6,26,18,8,14,31,57,1,6,"ma MAR","DF","fr Ligue 1",36,1987,11.5,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,4,1,0,8,3,393,3,8,"ma MAR","DF","fr Ligue 1",36,1987,16,1033,65,33.8,11.5,11,85,9,5,19,17,0.94,5,31,-26,-2.27,-1.73,8,26.4,-18.4,-1.67,6,"ma MAR","DF","fr Ligue 1",36,1987,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199704,"yunis-abdelhamid","Yunis Abdelhamid (199704)","https://img.a.transfermarkt.technology/portrait/header/199704-1727723225.jpg","يونس عبد الحميد","1987-09-28","Montpellier","Morocco",190,"Morocco  France","True","Defender - Centre-Back","Defender","left",9099,"AS FAR Rabat","2025-07-14","2026-06-30","Puma","",6570,"PSC","Option for a further year","",NA,"","","","","","","","","","2025-06-02",4e+05,2025-06-02
"Youssoufa Moukoko",1805,"de GER","FW","Nice","fr Ligue 1",19,2004,11,2,204,2.3,2,1,3,2,0,0,0,0,2.2,2.2,0.8,3,2,6,12,1.32,1.32,1805,"de GER","FW,MF","fr Ligue 1",19,2004,2.3,2,6,2,33.3,2.65,0.88,0.33,1,11.6,0,0,0,2.2,2.2,0.37,-0.2,-0.2,1805,"de GER","FW,MF","fr Ligue 1",19,2004,2.3,36,44,81.8,522,206,1,0.8,0.2,0.2,5,2,1,1,6,1805,"de GER","FW,MF","fr Ligue 1",19,2004,2.3,44,41,3,1,0,0,1,0,0,0,0,0,36,0,0,1805,"de GER","FW,MF","fr Ligue 1",19,2004,2.3,6,2.62,5,0,0,1,0,0,1,0.44,1805,"de GER","FW,MF","fr Ligue 1",19,2004,2.3,3,2,2,1,0,2,50,1,2,0,2,0,3,0,0,1805,"de GER","FW,MF","fr Ligue 1",19,2004,2.3,75,0,9,30,37,14,75,7,2,28.6,5,71.4,43,202,80,2,1,1,3,4,46,12,2228,"de GER","FW,MF","fr Ligue 1",19,2004,11,204,19,6.7,2.3,2,64,0,9,8,14,1.73,6,2,4,1.76,1.1,5,1.4,3.6,1.57,1805,"de GER","FW,MF","fr Ligue 1",19,2004,2.3,0,0,0,1,4,5,1,0,2,0,0,0,14,2,0,100,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467720,"youssoufa-moukoko","Youssoufa Moukoko (467720)","https://img.a.transfermarkt.technology/portrait/header/467720-1739972793.jpg","","2004-11-20","Yaoundé","Germany",179,"Germany  Cameroon","True","Attack - Centre-Forward","Attack","left",190,"FC Copenhagen","2025-07-01","2030-06-30","Nike","http://www.instagram.com/youssoufa_10/",440,"Wasserman","","",NA,"","","","","","","","","","2025-06-02",1e+07,2025-06-02
"Youssouf Ndayishimiye",1864,"bi BDI","DF","Nice","fr Ligue 1",25,1998,23,22,1932,21.5,3,0,3,3,0,0,5,0,0.9,0.9,0.2,1.1,17,86,9,0.14,0.05,1864,"bi BDI","DF","fr Ligue 1",25,1998,21.5,3,11,4,36.4,0.51,0.19,0.27,0.75,15,0,0,0,0.9,0.9,0.08,2.1,2.1,1864,"bi BDI","DF","fr Ligue 1",25,1998,21.5,1177,1316,89.4,20069,6861,0,0.2,0.4,-0.2,5,94,5,0,86,1864,"bi BDI","DF","fr Ligue 1",25,1998,21.5,1316,1237,74,52,2,5,2,6,0,0,0,0,1177,5,9,1864,"bi BDI","DF","fr Ligue 1",25,1998,21.5,30,1.4,23,0,1,1,3,2,2,0.09,1864,"bi BDI","DF","fr Ligue 1",25,1998,21.5,40,21,25,14,1,27,59.3,11,35,19,16,21,61,117,4,1864,"bi BDI","DF","fr Ligue 1",25,1998,21.5,1581,179,648,866,83,10,1581,8,6,75,2,25,906,4350,2619,17,12,0,14,7,1040,9,2299,"bi BDI","DF","fr Ligue 1",25,1998,23,1932,84,63.1,21.5,22,88,20,1,1,0,1.74,44,25,19,0.89,0.41,40.7,25.3,15.4,0.72,1864,"bi BDI","DF","fr Ligue 1",25,1998,21.5,5,0,0,19,13,0,2,21,21,1,0,0,114,37,28,56.9,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674612,"youssouf-ndayishimiye","Youssouf Ndayishimiye (674612)","https://img.a.transfermarkt.technology/portrait/header/674612-1739970953.jpg","","1998-10-27","Bujumbura","Burundi",183,"Burundi","False","Defender - Centre-Back","Defender","right",417,"OGC Nice","2023-01-25","2027-06-30","","http://www.instagram.com/ndayishimiyeyoussuf/",7562,"FutureBall","","",NA,"","","","","","","","","","2025-06-02",1.2e+07,2025-06-02
"Younes Lachaab",1436,"fr FRA","MF","Lille","fr Ligue 1",19,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,1,0,0.95,1436,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,0,1,0,0,10,0,0,NA,23.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,1436,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,1,2,50,4,0,0,0,0,0,0,0,0,0,0,1436,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1436,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,2,20,0,0,1,1,0,0,0,0,1436,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,1,1,0,0,1,1,100,0,0,0,0,1,2,0,0,1436,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,8,0,0,0,8,4,8,1,1,100,0,0,3,31,12,1,0,1,2,0,3,1,1773,"fr FRA","MF,FW","fr Ligue 1",19,2005,2,9,5,0.3,0.1,0,NA,0,2,5,3,3,0,0,0,0,-0.47,1.1,0.2,0.9,8.56,1436,"fr FRA","MF,FW","fr Ligue 1",19,2005,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035659,"younes-lachaab","Younes Lachaab (1035659)","https://img.a.transfermarkt.technology/portrait/header/default.jpg","","2005-01-06","Maubeuge","France",176,"France  Algeria","True","Attack - Left Winger","Attack","right",12765,"LOSC Lille B","2023-07-01","2028-06-30","","",NA,"Relatives","","2025-07-23",NA,"","","/losc-lille-uefa-u19/startseite/verein/76577","LOSC Lille UEFA U19","","","","","","2025-06-02",50000,2025-06-02
"Yoram Zague",2808,"fr FRA","DF","Paris S-G","fr Ligue 1",18,2006,4,2,183,2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,10,17,0,0.05,2808,"fr FRA","DF,FW","fr Ligue 1",18,2006,2,0,1,1,100,0.49,0.49,0,0,10.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2808,"fr FRA","DF,FW","fr Ligue 1",18,2006,2,172,183,94,2831,596,0,0.1,0.1,-0.1,2,4,2,1,10,2808,"fr FRA","DF,FW","fr Ligue 1",18,2006,2,183,168,15,0,0,0,4,15,0,0,0,0,172,0,2,2808,"fr FRA","DF,FW","fr Ligue 1",18,2006,2,3,1.48,3,0,0,0,0,0,0,0,2808,"fr FRA","DF,FW","fr Ligue 1",18,2006,2,8,6,3,1,4,8,75,2,3,0,3,2,10,2,0,2808,"fr FRA","DF,FW","fr Ligue 1",18,2006,2,203,3,44,124,36,5,203,2,2,100,0,0,148,629,313,5,1,1,1,0,158,17,3454,"fr FRA","DF,FW","fr Ligue 1",18,2006,4,183,46,6,2,2,58,0,2,34,18,3,2,3,-1,-0.49,-2.31,3.6,1.4,2.2,1.08,2808,"fr FRA","DF,FW","fr Ligue 1",18,2006,2,0,0,0,2,0,0,4,2,6,0,0,0,5,1,1,50,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1047097,"yoram-zague","Yoram Zague (1047097)","https://img.a.transfermarkt.technology/portrait/header/1047097-1716562778.jpg","","2006-05-15","Paris","France",168,"France  Cote d'Ivoire","True","Defender - Right-Back","Defender","right",190,"FC Copenhagen","2025-07-01","2026-06-30","","http://instagram.com/y.zague",8509,"VV Consulting","Option to buy","",583,"Paris Saint-Germain","2028-06-30","","","","","","","","2025-06-02",2500000,2025-06-02
"Yoann Salmier",2314,"gf GUF","DF","Le Havre","fr Ligue 1",31,1992,13,9,797,8.9,0,0,0,0,0,0,3,0,0.8,0.8,0.2,1.1,7,24,1,0,0.12,2314,"gf GUF","DF","fr Ligue 1",31,1992,8.9,0,5,2,40,0.56,0.23,0,0,9.8,0,0,0,0.8,0.8,0.17,-0.8,-0.8,2314,"gf GUF","DF","fr Ligue 1",31,1992,8.9,283,346,81.8,5596,1997,0,0.2,0.2,-0.2,2,20,1,0,24,2314,"gf GUF","DF","fr Ligue 1",31,1992,8.9,346,311,35,16,1,4,1,18,0,0,0,0,283,0,4,2314,"gf GUF","DF","fr Ligue 1",31,1992,8.9,3,0.34,3,0,0,0,0,0,1,0.11,2314,"gf GUF","DF","fr Ligue 1",31,1992,8.9,14,7,9,4,1,13,76.9,3,12,8,4,10,24,59,0,2314,"gf GUF","DF","fr Ligue 1",31,1992,8.9,462,74,232,201,33,9,462,5,4,80,1,20,205,1202,630,7,3,0,4,0,236,1,2854,"gf GUF","DF","fr Ligue 1",31,1992,13,797,61,26,8.9,9,85,6,4,9,6,0.85,7,18,-11,-1.24,-0.45,11,16.9,-5.9,-0.66,2314,"gf GUF","DF","fr Ligue 1",31,1992,8.9,3,0,0,8,3,0,1,10,7,0,1,0,22,20,11,64.5,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351843,"yoann-salmier","Yoann Salmier (351843)","https://img.a.transfermarkt.technology/portrait/header/351843-1741190387.jpg","","1992-11-21","Villiers-le-Bel","French Guiana",188,"French Guiana  France","True","Defender - Centre-Back","Defender","right",3524,"Clermont Foot 63","2025-02-03","2026-06-30","","http://www.tiktok.com/@yo_bastos21",5390,"S.O.M FOOTBALL","","",NA,"","","","","","","","","","2025-06-01",8e+05,2025-06-01
